Accession Number,herbarium,species.label,modifier,my.species,Authorship Ref Species author::Species Author,province.state,collector,location,habitat,Geo_LatDegree,Geo_LongDegree,Geo_Source,mapped,certainty 0-3,Altitude from sheet,altitude.units,max elevation,altitude.corrected,Date,Entire plant,corolla width,spur length,spur reflexion,blade length,blade width,blade cleft,sepal length,sepal width,anther exsertion,sepal.color.0.4,Fls/infl,Petal midpoint diameter,Height cm,term lflt length cm,term lflt width cm,num bsl lvs,comments,changes
V176410,UBC,flavescens,,flavescens,S. Watson,BC,A.A. Rose,"Invermere, Paradise Mountain",,50.520041,-115.745545,Google Earth,Y,2,675,m,,675,1981 Aug 19,Y,1.5,1.1,NA,0.5,0.6,N,1.7,0.55,0.9,0,,0.23,,,,,elevation does not match location description,
V167996,UBC,flavescens,,flavescens,S. Watson,BC,Susan Stevenson,"Crutch Creek, Selkirk Mountains, ca. 5.5km due south of Salmo-Creston summit &one km n. of u. south border",,49.013244,-117.034821,label,Y,3,1825,m,,1825,1978 Aug 09,Y,2.3,1.5,NA,0.74,0.74,N,2.1,NA,0.7,0,,0.35,,,,,,
V67474,UBC,flavescens,,flavescens,S. Watson,BC,"M. Bell, J. Davidson","Flathead, Sage Creek Lodge",,49.360154,-114.621246,Google Earth,Y,1,5000,ft,,1524,1957 Jul 21,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,57,4.3,3.7,7,"fls senesced,dead bsl lvs not counted",
V67047,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,"Flathead, Mile 14",,49.361859,-114.638781,Google Earth,Y,2,4900,ft,,1493.52,1957 Jul 17,Y,1.96,1.5,3,0.6,0.7,N,1.7,0.5,NA,0,5,0.3,33,1.6,1.6,3,", very faint red on only one sepalanthers a mess",
V67048,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,Flathead area,,49.381119,-114.625047,Google Earth,Y,1,6500,ft,,1981.2,1957 Aug 18,Y,1.8,1.6,2,0.6,0.6,N,2,NA,0.5,0,5,0.38,56,3.5,4.3,5,,
V64139,UBC,flavescens,,flavescens,S. Watson,BC,M.E. Slack,Albert Canyon,,51.136862,-117.853796,Google Earth,Y,1,NA,,,720,1915 Jun,N,1.5,1.7,2,0.5,0.4,N,1.3,0.4,0.6,0,4,0.3,NA,,,NA,,
V33047,UBC,flavescens,,flavescens,S. Watson,BC,E. Wilson,"Armstrong, Davis Creek",,50.440681,-119.128592,Google Earth,Y,2,NA,,,755,1904 May 24,N,1.55,1,3,0.6,0.7,N,2,0.7,0.8,0,6,0.3,NA,5,1.8,NA,long narrow lflts,
V64133,UBC,flavescens,,flavescens,S. Watson,BC,A. Flett,"Kootenay, Corbin",,49.514539,-114.644628,Google Earth,Y,1,NA,,,1731,1915,Y,1.95,1.4,2,0.7,0.7,N,2.2,0.7,0.4,0,10,0.25,34,2.2,2.6,4,,
V43375,UBC,flavescens,,flavescens,S. Watson,Alberta,A. Flett,"Crows Nest Pass, Corbin",,49.589279,-114.520738,Google Earth,Y,1,NA,,,1629,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,2.4,2.7,NA,"immature fls, extremely faint red observed at edges",
V33046,UBC,flavescens,,flavescens,S. Watson,BC,E. Wilson,"Armstrong, Davis Creek",,50.440681,-119.128592,Google Earth,N,2,NA,,,755,1904 May 24,Y,1.3,1,3,0.48,0.56,N,1.6,0.5,0.8,0,3,0.3,,,,,duplicate location description,
V34060,UBC,flavescens,,flavescens,S. Watson,BC,H. Murray,Crawford Bay,,49.677106,-116.775823,Google Earth,Y,1,NA,,,1521,1919 May 30,Y,1.8,1.6,3,0.8,0.9,N,1.9,0.7,0.5,0,4,0.5,62.5,2.3,2,2,,
94792,UBC,flavescens,,flavescens,S. Watson,BC,"T.M.C. Taylor, A.F. Szczawinski",Galena Pass Summit,,50.711744,-117.749506,Google Earth,Y,2,5325,ft,,1623.06,1962 Jul,N,1.7,1.9,3,0.6,0.6,N,2.3,0.8,1.3,0,9,0.4,NA,4.8,4.3,NA,elevation changed from 850m to match location description,
66717,UBC,flavescens,,flavescens,S. Watson,BC,K.I. Beamish,Monashee Rd. 5 mi E. of Kettle R.,,49.004247,-118.699628,Google Earth,Y,1,NA,,,1054,,Y,1.9,1.5,2,0.6,0.6,N,2.2,0.7,0.6,0,3,0.4,48,2.5,1.6,2,Location uncertain,
83687,UBC,flavescens,,flavescens,S. Watson,BC,K.J. Roller,Idaho Mountain,,49.970284,-117.301307,Google Earth,Y,1,NA,,,2114,,Y,1.8,1.4,NA,0.5,0.6,N,1.7,0.7,0.7,0,5,0.3,39,3,1.9,4,,
86455,UBC,flavescens,,flavescens,S. Watson,BC,V.C. Brink,"Silver Star Mt., Vernon",subalpine forest and alpine association,50.355505,-119.122397,Google Earth,Y,2,5400,ft,,1645.92,1960,Y,1.77,1.5,1,0.6,0.7,N,2.1,1.13,0.66,0,3,0.38,,,,,elevation added,
103901,UBC,flavescens,,flavescens,S. Watson,BC,F. Vrugtman,"Slocan Chief Cabin Trail, Kokanee Glaceir Park",dry mountain-side,49.731456,-117.154733,Google Earth,Y,3,5900,ft,,1798.32,1962 Jul 25,Y,2.15,1.3,3,0.6,0.73,N,1.7,0.9,0.62,0,3,0.41,,,,,,
34061,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,"Six Mile Lakes, Nelson",,49.666168,-117.275679,Google Earth,Y,3,4500,ft,,1371.6,1940 Jun 26,N,1.4,1.2,3,0.6,0.5,N,1.6,0.5,0.7,0,18,0.3,,,,,fruiting,
34064,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,Kokanee,,49.728825,-117.152573,Google Earth,Y,1,NA,,,1721,1938 Jul 29,Y,2.08,1.8,1,0.46,0.7,N,2.2,0.55,1,0,7,0.4,,,,,sheet 1 measured,
88893,UBC,flavescens,,flavescens,S. Watson,BC,F.V. C.V.,Mt. Kobau lookout trail,"Abies lasiocarpa, open range",49.111987,-119.666998,Google Earth,Y,3,6100,ft,,1859.28,1961 Jul 6,Y,2.1,1.5,1,0.6,0.7,N,2.1,0.53,0.6,0,4,0.4,,,,,,
47325,UBC,flavescens,,flavescens,S. Watson,BC,F. Fedor,"Boulder Creek, Fort Steele",,49.290944,-116.638468,Ministry of Natural Resource Operations - BC Geographical Names,Y,2,NA,,,1028,1943 Jun 6,N,2.15,1.4,1,0.84,0.7,N,2.3,0.85,0.47,0,3,0.26,,,,,,
121267,UBC,flavescens,,flavescens,S. Watson,BC,V.C. Brink,Mt. Robson,,53.128402,-119.170762,Google Earth,Y,3,6300,ft,,1920.24,1949 Jul 24,Y,1.96,1.4,NA,0.8,0.73,N,2,0.73,0.5,0,1,NA,,,,,,
34074,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,"St. Mary's Lake, Kimberley",,49.597183,-116.189017,Google Earth,Y,2,NA,,,1223,1947 Jun 30,Y,NA,2,3,0.6,0.62,N,NA,NA,NA,0,4,0.31,,,,,no complete fls,
V239253,UBC,flavescens,,flavescens,S. Watson,BC,Frank Lomer,"Yoho National Park, Mount Field, southwest slope, 3.5 km due northeast of town of Field",,51.421961,-116.460058,label,Y,3,1785,m,,1785,2013 Aug 17,Y,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,1,NA,,,,,immature,
97386,UBC,flavescens,,flavescens,S. Watson,BC,K. Milroy,Mt Cobau,rocky outcrop,49.109936,-119.668062,Google Earth,Y,1,NA,,,1810,1961 Jul 6,Y,2.3,1.4,3,0.7,0.7,N,2,0.7,0.6,1,6,0.31,,,,,blue tinge in sepals,
34065,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,"Lightning Peak Rd., Monashee",,49.885004,-118.536494,Google Earth,Y,2,4500,ft,,1371.6,1940 Jul 14,Y,1.9,1.5,1,0.6,0.8,N,1.9,0.55,0.56,0,,0.32,,,,,,
218291,UBC,flavescens,,flavescens,S. Watson,BC,RMcL,Hosmer Wheler 1-06-780,,49.620868,-114.939362,Google Earth,Y,2,1067,m,,1067,1976 Jul 07,Y,2,1.7,2,0.6,0.7,N,2.2,0.62,0.45,0,6,0.35,,,,,,
218292,UBC,flavescens,,flavescens,S. Watson,BC,,Fording River Plot 1 Area Turnbull,,50.210279,-114.85537,Google Earth,Y,1,NA,,,1904,1971 Jul 28,Y,1.4,NA,2,0.7,0.8,N,1.5,0.75,0.5,0,2,NA,,,,,"left fl measured, right has blue in sep",
33044,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,"Mt. Revelstoke, along Jade Lake Trail",,51.070329,-118.082532,Google Earth,Y,3,6100,ft,,1859.28,1947 Aug 6,Y,1.4,1.6,3,0.5,0.5,N,1.6,NA,0.55,0,3,0.4,,,,,,
34063,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,Radium Hotsprings,,50.623576,-116.050496,Google Earth,Y,1,NA,,,1110,1939 Jul 24,Y,1.9,1.7,3,0.6,0.6,N,2.1,0.4,0.5,0,3,0.3,,,,,,
34062,UBC,flavescens,,flavescens,S. Watson,BC,J.W. Eastham,Kokanee,,49.726832,-117.145022,Google Earth,Y,1,NA,,,1815,1938 Jul 29,N,1.9,1.5,1,0.4,0.7,N,1.8,0.6,0.9,0,7.5,0.42,,,,,,
152515,UBC,flavescens,,flavescens,S. Watson,BC,Doug Morrison,Fording River - Mt. Turnbull,alpine grassland - rough Festuca community,50.220499,-114.834322,Google Earth,Y,3,7580,ft,,2310.384,1971 Jul 28,Y,1.75,1.1,1,0.5,0.6,N,1.5,0.6,0.5,0,3,0.4,,,,,,
